name,description,log2FoldChange,pvalue,padj
ENSG00000233729.1,AC016909.2,-1.22011869377663,0.777190586679,1
ENSG00000233730.1,LINC01765,-0.691074427583789,0.635912722042,1
ENSG00000233733.1,H2AFZP6,-0.377008453567362,0.930472371857,1
ENSG00000233735.5,AL359918.2,0.897101790846,0.0219854310103,0.0655870834779
ENSG00000233739.1,AL031587.2,0.345350957091,0.184027995528,0.321075056766
ENSG00000233747.1,RPL36AP13,1.03133056779,0.811653913727,1
ENSG00000233750.3,CICP27,0.854374145721,0.287200301031,0.443121074789
ENSG00000233751.1,AC104772.2,-1.22011869377663,0.777190586679,1
ENSG00000233754.2,AP001628.2,1.72288444921,0.677906613008,1
ENSG00000233755.1,AL050344.1,-0.0432442488865022,0.984850509638,1
ENSG00000233756.5,DSCAM-IT1,1.03133056779,0.811653913727,1
ENSG00000233757.6,AC092835.1,-0.0719917415885669,0.773614271819,0.858189570481
ENSG00000233760.1,AC004947.1,1.89421599072,0.0922872910503,0.194043919466
ENSG00000233762.3,AC007969.1,-0.356896713563381,0.365848262622,0.526234635769
ENSG00000233765.1,AL591479.1,1.31667374858,0.58336281175,1
ENSG00000233766.7,AC098617.1,-2.60327729802799,0.0604905348775,0.140914110621
ENSG00000233771.2,CICP5,1.76884674173,0.682420500423,1
ENSG00000233775.1,AL109945.1,-2.75823467960516,0.449731612202,1
ENSG00000233776.5,LINC01251,-1.65078220164545,0.320511405252,1
ENSG00000233783.7,AP001442.1,2.17797088734,0.395767836764,1
ENSG00000233785.1,AC131011.1,-0.43576458355736,0.745326263385,1
ENSG00000233786.1,CDC27P1,2.40250727036,0.509795688109,1
ENSG00000233791.5,LINC01136,1.25707570812,0.477672927379,1
ENSG00000233797.1,UFL1-AS1,-1.3036033379448,0.512512101581,1
ENSG00000233799.1,AC139887.1,0.241051716943,0.295817670282,0.452197358531
ENSG00000233806.7,LINC01237,0.977390613168,0.129532424273,0.249343752128
ENSG00000233817.1,AL162727.1,0.0100480245777,0.9943897238,1
ENSG00000233818.1,AP000695.2,4.44264625695,0.0393190315778,1
ENSG00000233820.2,AL589843.2,0.039477717938,0.966677619384,0.980891874748
ENSG00000233821.1,ENOX1-AS1,1.03133056779,0.811653913727,1
ENSG00000233822.4,HIST1H2BN,1.55035983083,0.000156429365448,0.00138474223804
ENSG00000233825.1,AL391839.2,-0.0347607814699103,0.912431088409,0.948808517397
ENSG00000233829.1,AC017078.1,-0.377025073406521,0.930342791578,1
ENSG00000233830.2,EIF4HP1,-0.429817573731478,0.536862226404,0.681274485683
ENSG00000233834.6,AC005083.1,-2.24286684432573,0.593091574462,1
ENSG00000233835.1,AL132875.2,1.68229765126,0.697339883974,1
ENSG00000233836.7,AC139769.1,-0.0141293968085482,0.945089513431,0.968556497919
ENSG00000233837.1,EIF3LP2,-1.9558054404274,0.235508088783,1
ENSG00000233838.5,DPH3P1,-1.21972082602705,0.00574919922884,0.0231864084868
ENSG00000233843.1,CYCSP48,-1.09834009661463,0.799350887485,1
ENSG00000233844.1,KCNQ5-IT1,1.76884674173,0.682420500423,1
ENSG00000233845.1,AC093732.1,3.37021763475,0.134849563227,1
ENSG00000233846.2,SELENOTP1,-0.446686026397493,0.761058477089,1
ENSG00000233847.1,AC022445.1,-0.0611535402579351,0.834384828361,0.899418266603
ENSG00000233848.1,AL513188.1,-1.09834009661463,0.799350887485,1
ENSG00000233849.1,AC022201.2,-0.309247705332371,0.35007618772,0.510050044408
ENSG00000233850.1,AC103563.7,-0.75076183233454,0.666408174082,1
ENSG00000233851.1,LATS2-AS1,1.03133056779,0.811653913727,1
ENSG00000233852.1,AC005304.1,1.72275019718,0.682260984844,1
ENSG00000233854.1,POU6F2-AS2,0.871647455284,0.503603002679,0.652871131332
ENSG00000233859.2,ADH5P4,-0.730985044225525,0.517777977071,1
ENSG00000233860.1,AC107072.2,-1.04346447611364,0.371320157394,1
ENSG00000233862.5,AC016907.2,2.42434137672,0.0960749421646,0.199613268883
ENSG00000233864.7,TTTY15,0.749336895423,0.00394467658356,0.017319554452
ENSG00000233868.1,AC009302.1,0.156061609106,0.939546324378,1
ENSG00000233870.1,AC007881.1,-2.75823467960516,0.449731612202,1
ENSG00000233871.2,DLG5-AS1,0.23829778805,0.529817511336,0.675530174129
ENSG00000233875.1,AL592078.1,1.8756673533,7.11669887034117e-8,0.0000026278810393278
ENSG00000233877.2,AL606517.1,-0.377025073406521,0.930342791578,1
ENSG00000233878.1,AC073133.2,-0.528344515779336,0.62483513761,0.751557352132
ENSG00000233884.1,AL772337.2,-1.54492501038776,0.188917139267,0.327238141288
ENSG00000233885.7,YEATS2-AS1,-0.102763588735598,0.597612798104,0.730137928108
ENSG00000233888.2,MTCO2P17,-0.377008453567362,0.930472371857,1
ENSG00000233892.1,PAIP1P1,1.81133470308,0.133624229668,0.254961894871
ENSG00000233893.2,EZR-AS1,0.426164047691,0.0490434526815,0.12049354401
ENSG00000233894.1,AC105271.1,0.220805514106,0.943148341823,1
ENSG00000233896.1,PDYN-AS1,1.72275019718,0.682260984844,1
ENSG00000233900.1,RPL17P35,1.03133056779,0.811653913727,1
ENSG00000233901.5,LINC01503,0.903981161237,0.041920681404,0.107086730936
ENSG00000233902.1,AL645933.1,0.0959331741683,0.901651127009,0.942407163083
ENSG00000233903.2,Z83851.1,-1.25294770575686,0.152242588204,0.28062889199
ENSG00000233906.1,AL445623.1,1.07992044005,0.424851442409,1
ENSG00000233907.1,LINC01761,-1.22011869377663,0.777190586679,1
ENSG00000233908.1,AL359711.1,-1.09834009661463,0.799350887485,1
ENSG00000233912.1,AC026202.2,-2.71601257989163,0.243684830463,1
ENSG00000233913.7,RPL10P9,-1.07020367971387,0.109130111637,0.219403514954
ENSG00000233916.1,ZDHHC20P1,0.69698309464,0.709847459598,1
ENSG00000233919.1,AC009743.1,-0.498650561617648,0.907700414574,1
ENSG00000233920.1,AL162595.2,-0.377213738297988,0.928890099895,1
ENSG00000233922.2,LINC01694,2.18301567362,4.08836771307116e-9,2.44845730169371e-7
ENSG00000233924.1,RPSAP13,-2.24286684432573,0.593091574462,1
ENSG00000233926.1,AL591368.1,0.509012158712,0.499696259784,0.649568077428
ENSG00000233927.4,RPS28,-0.707434630930892,0.0017466499438,0.00926577354165
ENSG00000233928.5,AL591501.1,-0.14314845505946,0.916866031576,1
ENSG00000233929.1,MT1XP1,2.33658786676,0.117941448721,1
ENSG00000233930.3,KRTAP5-AS1,2.50565496206,7.14123534834455e-10,6.01927881405826e-8
ENSG00000233932.5,CTXN2,0.458527905168,0.195812162526,0.335928062968
ENSG00000233936.1,AL390778.2,3.71246618545,0.0501655541086,0.122700026334
ENSG00000233937.6,CTC-338M12.4,0.0424769640725,0.850507359505,0.909932814712
ENSG00000233942.1,AC004012.1,-1.88764290145711,0.586667133104,1
ENSG00000233951.3,RCC2P3,1.03133056779,0.811653913727,1
ENSG00000233954.6,UQCRHL,0.171188789416,0.454992191823,0.609849590376
ENSG00000233956.1,BTF3P6,2.38004976151,0.515198080554,1
ENSG00000233963.2,ATP8A2P3,0.847254049885,0.457758897781,0.612496268592
ENSG00000233966.1,UBE2SP1,0.488832681336,0.258657877764,0.411172033635
ENSG00000233967.6,AL359715.1,-0.706775444428624,0.362760338973,0.523166871747
ENSG00000233968.6,AL157895.1,-1.09834009661463,0.799350887485,1
ENSG00000233970.1,AC092159.3,0.275495985352,0.928275632673,1
ENSG00000233974.3,AC138951.1,-3.20736472200382,0.127700806313,1
ENSG00000233977.1,AC099681.3,1.78056321246,0.108564856636,0.218534464881
ENSG00000233978.1,LINC02590,1.03133056779,0.811653913727,1
ENSG00000233983.2,AL365220.1,-3.43647183366206,0.253756582272,1
ENSG00000233984.1,RPSAP14,-1.00942204645532,0.259397514411,0.412023927705
ENSG00000233993.1,AL121900.1,2.76395349862,0.422898321219,1
ENSG00000233994.2,GDI2P2,-0.226952305760367,0.875556263267,1
ENSG00000233996.1,AC013439.1,2.82984302825,0.408147332164,1
ENSG00000233998.1,SETP5,2.31427638185,0.589507956723,1
ENSG00000233999.3,IGKV3OR2-268,-3.19153191355746,0.332878357985,1
ENSG00000234003.1,MTATP6P27,0.615980319068,0.713021462203,1
ENSG00000234004.4,AC092017.2,1.03133056779,0.811653913727,1
ENSG00000234005.3,GAPDHP22,0.36740844259,0.905017588644,1
ENSG00000234006.1,DDX39B-AS1,-0.879790229131177,0.261300492358,0.414145843054
ENSG00000234009.1,RPL5P34,-1.04607819714479,0.166787148506,0.29987013071
ENSG00000234016.1,GNG10P1,1.03133056779,0.811653913727,1
ENSG00000234017.1,AC022018.1,1.03133056779,0.811653913727,1
ENSG00000234019.1,AL591212.1,2.11841126704,0.0000148813578643747,0.000208508046288
ENSG00000234020.1,CHIAP3,-3.22949439073652,0.0916363285077,1
